,Nombre,Tipo,Website
34,Campos Del Rio,Zona Camino de la Costa,https://www.facebook.com/camposdelriogchu
35,Nuevo Paraiso,Zona Camino de la Costa,https://www.instagram.com/cabanasgualeguaychu/
36,La Foret,Zona Camino de la Costa,http://complejolaforet.com/
37,Mar De Las Pampas,Zona Camino de la Costa,https://cabanas-mar-de-las-pampas.negocio.site/?utm_source=gmb&utm_medium=referral
38,Weekend,Zona Camino de la Costa,https://www.gualeguaychu.tur.ar/wp-content/uploads/2022/05/Weekend002.jpg
39,Las Aguas,Zona Camino de Península,http://www.lasaguas.com.ar/
40,Aires Del Rio,Zona Camino de Península,http://airesderio.com.ar/
41,Altos Verdes,Zona Camino de Península,http://www.altosverdesbungalow.com.ar/
42,El Viejo Willys,Zona Camino de Península,https://www.facebook.com/Caba%C3%B1as-El-Viejo-Willys-130308600377905
43,Punta Sur,Zona Camino de Península,http://www.cabañascampingpuntasur.com.ar/
44,Terra Y Rio,Zona Camino de Península,http://terrayrio.com/
45,Maneryros,Zona Camino de Península,https://www.instagram.com/bungalowsmaneyros/ 
46,Allipen,Zona Camino a Ñandubaysal,https://cabanas-allipen.negocio.site/?utm_source=gmb&utm_medium=referral
47,Campo Chico,Zona Camino a Ñandubaysal,https://www.bungalowscampochico.com.ar/
48,Los Aromos,Zona Camino a Ñandubaysal,http://www.complejo-losaromos.com.ar/
49,Arco Iris,Zona Camino a Ñandubaysal,https://www.facebook.com/arcoiris.bungalows
50,Arizona,Zona Camino a Ñandubaysal,https://www.facebook.com/cabanas.arizona
51,Cerros Indios,Zona Camino a Ñandubaysal,https://www.facebook.com/pages/Gualeguaych%C3%BA-Cerro-de-los-indios/756292577843484
52,La Escapada,Zona Camino a Ñandubaysal,https://vivilaescapada.com/
53,Sagitario,Zona Camino a Ñandubaysal,https://www.gualeguaychu.tur.ar/wp-content/uploads/2022/05/Sagitario001.jpg
54,Sol y Luna,Zona Camino a Ñandubaysal,https://www.facebook.com/Sol-y-luna-709195279127492
55,Solares Del Norte,Zona Camino a Ñandubaysal,https://www.facebook.com/Solares-del-Norte-271535753755973
56,Soles,Zona Camino a Ñandubaysal,https://www.gualeguaychu.tur.ar/wp-content/uploads/2022/05/image-not-found.webp
57,Villa Fariña,Zona Camino a Ñandubaysal,https://www.facebook.com/profile.php?id=100057464558782
58,Nuestra Argentina,Zona Camino a Ñandubaysal,https://www.instagram.com/nuestraargentina_gchu/
59,La Flor Azul,Zona Camino a Ñandubaysal,https://www.instagram.com/azul.laflor/
60,La Serena Del Gualeyan,Otras Zonas,https://instagram.com/la_serena_del_gualeyan
61,Los Ciruelos,Otras Zonas,https://www.facebook.com/chacralosciruelos 
62,Las Materas,Otras Zonas,https://www.turismoentrerios.com/lasmateras/ 
63,Buddha,La web no especifica el tipo,https://www.facebook.com/budahostelgualeguaychu/
64,Costanera,La web no especifica el tipo,https://www.facebook.com/HostelCostaneraGualeguaychu/
65,GH,La web no especifica el tipo,https://www.instagram.com/GH.hostel/
66,Lo de Alicia,La web no especifica el tipo,https://www.gualeguaychu.tur.ar/wp-content/uploads/2022/05/image-not-found2.webp
67,GRACIELA GONZALEZ,La web no especifica el tipo,
68,NORA HERNANDEZ,La web no especifica el tipo,
69,LILIANA SCHULTEIS,La web no especifica el tipo,
70,Ñandubayzal,La web no especifica el tipo,http://www.nandubaysal.com/
71,Cerros Indios,La web no especifica el tipo,https://www.gualeguaychu.tur.ar/wp-content/uploads/2022/05/cerrosIndios.jpg
72,Los Pinos,La web no especifica el tipo,https://www.facebook.com/camping.pinos.1
73,Morena,La web no especifica el tipo,https://www.facebook.com/playamorenagchu
74,Parque del Sol,La web no especifica el tipo,https://www.facebook.com/ParquedelSolGualeguaychu
75,Punta Sur,La web no especifica el tipo,http://www.xn--cabaascampingpuntasur-fbc.com.ar/
76,Solar del Este,La web no especifica el tipo,http://www.solardeleste.com.ar/
77,GLAMPING DEL MONTE – Reserva Natural Senderos del Monte,La web no especifica el tipo,
78,COSTA ALEGRE,La web no especifica el tipo,
79,Posada Ribera del Gualeguaychú,La web no especifica el tipo,http://www.posadaribera.com.ar/
80,La Serena del Gualeyán,La web no especifica el tipo,https://instagram.com/la_serena_del_gualeyan
